,content,sentiment_score,情感极性,情感极端性,外形设计,流量营销,混动车型,自研技术,市场环境,品牌形象
32,14年买的suv 到现在为止 除了保养 轮胎 灯泡 没换过件 没修过 这就非常值得骄傲,0.41592351,0,0,0,1,0,0,0,0
33,15年买了宋，勉强第一批用户，真辣鸡，开了两年半价卖了,0.421086361,0,0,0,0,0,0,1,0
34,16年入手比亚迪 17年9月卖掉 我是真是个铁憨憨 水军太多,0.141019654,0,0,0,1,0,0,0,0
35,17年！那在汽车市场那就是小孩！就这些汽车品牌，哪个不是几十年上百年？别说那些造车新势力，那些只是贴牌厂！,0.997876895,1,1,0,0,0,1,0,0
36,17年就老牌啊，70年的红旗算啥？,0.775989351,1,0,0,0,0,0,1,0
37,17年就天下第一，不容易阿...,0.449177231,0,0,1,0,0,0,0,0
38,17年了，麻烦把质量品控搞好一点点，就一点点,0.086804364,0,1,0,1,0,0,0,0
39,1995年我刚出生,0.890899361,1,0,1,0,0,0,0,0
40,19年就开始关注比亚迪的dmp，以后一定要买一辆,0.542150574,1,0,1,0,0,0,0,0
41,1-近期电池平平自燃，当时发布说不会自燃嘛。,0.378740722,0,0,0,0,1,0,0,0
42,1块钱的一次性筷子，10块钱的家用筷子，几万的精装筷子。都是筷子而已,0.000439574,0,1,1,0,0,0,0,0
43,2.这是人为因素，与BYD无关。,0.336458914,0,0,1,0,0,0,0,0
44,2003年到现在多少年,0.117956075,0,0,1,0,0,0,0,0
45,2010年头买了2019款宋，今年刚入手一台宋plusDMI，无论是燃油还是混动车型我觉得都对得起这个价格。特别是在深圳开比亚迪很有归属感。,0.999992371,1,1,0,0,1,0,0,0
46,2012款福克斯早就双胶条,0.627111487,1,0,0,1,0,0,0,0
47,2016年的 博瑞豪华版 旗舰版就是已经是这样的用料了 而且还有底盘装甲 出厂就这样 7年后那这些涨价?,0.279399091,0,0,0,0,0,0,0,1
48,2023年了，刷到了这个视频，特斯拉掉价了,0.205586772,0,0,0,1,0,0,0,0
49,20w不容易了,0.5,1,0,1,0,0,0,0,0
50,20w的车。确实有20w的价值。不虚,0.521597335,1,0,1,0,0,0,0,0
51,20多w的汉连并线辅助都没有，奇葩的是14w的秦竟然有，比亚迪工程师脑子是被门夹了吗,0.020254259,0,1,1,0,0,0,0,0
52,20多个买这个，跑滴滴？,0.016556181,0,1,1,0,0,0,0,0
53,20多万的车只说车门和座椅不合适吧……,0.827902385,1,0,0,0,1,0,0,0
54,20万。做成50万。烦人,0.449177231,0,0,1,0,0,0,0,0
55,20万是100的，不能一概而论，200的到25w了,0.102288696,0,0,1,0,0,0,0,0
56,21年8月上牌唐Dm，安全带卡扣限位纽扣掉了，去byd四儿子店 质保，然后接待是这么跟我说的：“我怎么知道是不是你自己去抠掉的？”我：？？？ 我就问自费怎么收费？ 人家冷冷回了我一句：“要换整条安全带，换得话排队两三个小时。”我心里想算了 骂一句我得多干一口饭，真是花钱做孙子（深圳泽然浩4s店）,1.81E-06,0,1,1,0,0,0,0,0
57,22年比亚迪着火多人辆谁来说一下,0.162156131,0,0,1,0,0,0,0,0
58,2500公里、110续航宋、电为主油怕过期去年11月2号加的200开完了、总费用300出头一丢丢、香就完事了,0.004206522,0,1,1,0,0,0,0,0
59,258萬胡了自摸萬一色抓鸟全中,0.025191603,0,1,1,0,0,0,0,0
60,29万 我再加一点提一个唐dmp,0.890899361,1,0,1,0,0,0,0,0
61,2月份13万台依然销量第一,0.289234664,0,0,0,1,0,0,0,0
62,2-造车（车架）我还是服长安，哈弗，奇瑞，吉利。,0.966956883,1,1,0,0,0,1,0,0
63,3.8秒是馈电油耗，9年前广告宣传的是混动模式下的油耗，这也拿来讲？,0.520968316,1,0,0,1,0,0,0,0
64,3.8是亏电油耗 有问题？,0.646890698,1,0,0,1,0,0,0,0
65,3.线路故障或者有人故意放火。,0.937966143,1,1,0,0,0,1,0,0
66,30万的日系车又给到你什么？,0.831843003,1,0,0,1,0,0,0,0
67,3980 服务费,0.629577218,1,0,1,0,0,0,0,0
68,4.敌对势力故意摸黑民族之光。,0.035450554,0,1,0,0,0,0,0,1
69,40万的车 ，一个标 减了20万,0.629577218,1,0,1,0,0,0,0,0
70,5年的唐DM车主，现在想换汉DM-p,0.07779351,0,1,0,0,0,1,0,0
71,9.98万的秦，动了太多人的蛋糕，打价格战打不过，只能打舆论站了,0.563758121,1,0,1,0,0,0,0,0
72,bgm说明一切,0.5,1,0,1,0,0,0,0,0
73,bmi真的是垃圾 新能源还费油,0.013788635,0,1,0,0,1,0,0,0
74,Byd 的油车就是垃圾 公司里的宋汽油的 变速箱太垃圾了发动机也垃圾，电车还是厉害的,0.014190216,0,1,0,0,1,0,0,0
75,byd 就是工业垃圾，以前做山寨的,0.16073213,0,0,0,0,1,0,0,0
76,byd 拼音是不是“不要的”,0.449177231,0,0,1,0,0,0,0,0
77,BYD，不一定，不用的，不要的,0.557967262,1,0,1,0,0,0,0,0
78,byd，喽爆了,0.019936832,0,1,1,0,0,0,0,0
79,BYD:Be Your Dad,0.421874598,0,0,1,0,0,0,0,0
80,BYD=白洋淀,0.162156131,0,0,1,0,0,0,0,0
81,BYD的水军无敌,0.89333988,1,0,0,1,0,0,0,0
82,byd的思想还没转变过来，有点像日本企业的文化，对设计美学感觉很草率，我非常担心byd以后的竞争力，它没有走在世界一流企业的路上,0.499999964,0,0,0,0,0,0,1,0
83,byd的外观和内饰就是一坨屎,0.899624037,1,0,1,0,0,0,0,0
84,BYD赌对了赛道，自己也争气。DMi现在买不到,0.890899361,1,0,1,0,0,0,0,0
85,byd感觉跟hw一个路子,0.779894738,1,0,1,0,0,0,0,0
86,byd给我的印象就是山寨,0.449177231,0,0,1,0,0,0,0,0
87,byd汉比特斯拉强吧,0.664473142,1,0,1,0,0,0,0,0
88,byd汉唐车主。国内新势力都是友军。看不起tsl,0.972818217,1,1,0,0,0,1,0,0
89,byd好好造车 别天天搞那些水军,0.447475661,0,0,0,1,0,0,0,0
90,BYD和HW是我绝对不会考虑的产品，主要是水军太多，还经常用爱国二字道德绑架,0.949661977,1,1,0,1,0,0,0,0
91,byd换hw也是一样的,0.024202427,0,1,1,0,0,0,0,0
92,Byd会成为华为，国货之光,0.397009775,0,0,0,1,0,0,0,0
93,BYD内饰外观真的不堪入目,0.016556181,0,1,1,0,0,0,0,0
94,BYD品牌low味太重。由开始的模仿抄袭、低廉、到现在满街的出租车、网约车…已经影响了一代人的心智。大十几万的商品一定具有社交属性，说没有都是骗人。我觉得BYD需要一个新的子品牌重新定位,0.165193794,0,0,0,0,0,0,0,1
95,byd确实高端了,0.766396368,1,0,0,0,0,0,0,1
96,byd确实很多问题，不是技术的问题，是其他问题，如果我选新能源的车，我也不想买byd的，理想的，蔚来的，小鹏的，个人观点不喜勿喷。,0.015554166,0,1,0,0,0,1,0,0
97,byd啥时候出60万以上的车呀,0.016556181,0,1,1,0,0,0,0,0
98,byd设计不行，太土了，但是比亚迪技术确实是不错,0.579540838,1,0,0,0,0,1,0,0
99,BYD压榨劳工，倒闭吧，垃圾,0.064662943,0,1,0,0,1,0,0,0
100,byd应该是赶上好政策了。要是国家没有提早布局新能源，国内主机厂基本都很难过了,0.556291293,1,0,0,0,0,0,1,0
101,byd在几年前还是骂人的,0.021483086,0,1,1,0,0,0,0,0
102,byd在我们这算骂人,0.019936832,0,1,1,0,0,0,0,0
103,BYD这么6啊,0.5,1,0,1,0,0,0,0,0
104,CRV，途观只怕受冲击,0.777949077,1,0,1,0,0,0,0,0
105,DMi还行，刚上手汉,0.890899361,1,0,1,0,0,0,0,0
106,dmi没有变速箱，所以特别平顺,0.342988927,0,0,0,0,0,0,1,0
107,dmi目前看起来不错的，就是长期持有稳定性和维修经济性还需要时间验证,0.678994662,1,0,0,1,0,0,0,0
108,DMI主打经济性，但是兼顾动力性，没有完美的车，只有自己喜欢的车,0.797617425,1,0,1,0,0,0,0,0
109,ev受限，自燃最近ssss忙坏了吧,0.18953783,0,0,1,0,0,0,0,0
110,Ev受限怎么回事？多少车主换电池了,0.488844132,0,0,0,0,1,0,0,0
111,F0路过,0.51227831,1,0,1,0,0,0,0,0
112,f3-M6-汉也算是见证了一个品牌的成长吧提汉之前试驾了奔c，320，ct5，君越，反正买了汉7000公里了，体验不错,0.999969675,1,1,0,0,0,0,0,1
113,F3s7山寨之王,0.685433986,1,0,1,0,0,0,0,0
114,F3当年刚学完驾照，开过几回，坡陡一点车里坐4个人上不去,0.596137897,1,0,1,0,0,0,0,0
115,F3开了11年了 没大修过。21万公里了 依然没毛病 正常开,0.365700317,0,0,0,0,0,0,1,0
116,F蛋路过，家里还有台英菲尼迪,0.421936991,0,0,1,0,0,0,0,0
117,G5挺好的呀,0.716992476,1,0,1,0,0,0,0,0
118,model3不是16年的车,0.629577218,1,0,1,0,0,0,0,0
119,NFC解锁就是个鸡肋,0.019936832,0,1,1,0,0,0,0,0
120,NFC解锁我觉得是多此一举！钥匙一靠近自动解锁多方便！,0.162156131,0,0,1,0,0,0,0,0
121,NFC太鸡肋了。。明明不设计成隐藏把手，车门一拉就开了，现在还要去贴一下后视镜再拉门把手。。不是多了一道程序,0.009759006,0,1,1,0,0,0,0,0
122,nfc怎么用啊？,0.5,1,0,1,0,0,0,0,0
123,R8后大号再没刷到过你，现在小号也一次没有，今天又碰上了。,0.777949077,1,0,1,0,0,0,0,0
124,smart精灵1怎样,0.18953783,0,0,1,0,0,0,0,0
125,啊 我觉得比亚迪内饰挺好的呀，难道就因为那几个中国字？,0.18953783,0,0,1,0,0,0,0,0
126,啊 在给梦想汽车打广告呀,0.36260329,0,0,0,0,1,0,0,0
127,哎 总的来说比加价几十万的百万大面包好 好歹支持国货了,0.997291088,1,1,0,1,0,0,0,0
128,哎护卫舰的车头感觉不太好看呢，好好设计啊,0.882414707,1,0,1,0,0,0,0,0
129,哎真心是没有钱好喜欢汉,0.679490002,1,0,1,0,0,0,0,0
130,唉，国产又内哄了！,0.219428113,0,0,0,0,0,0,0,1
131,唉，我怎么刷的都是黑的多呢,0.019936832,0,1,1,0,0,0,0,0
132,艾瑞泽5都有,0.938748577,1,1,1,0,0,0,0,0
133,爱而不得！,0.890899361,1,0,1,0,0,0,0,0
134,爱买啥买啥，反正我不想变成泰迪,0.57119724,1,0,0,0,0,0,1,0
135,安全系数高,0.634254648,1,0,1,0,0,0,0,0
136,按你这说法广汽一汽算什么，它们倆不该好？你买广汽一汽的啥车？,0.029577218,0,1,1,0,0,0,0,0
137,奥迪r8啥结果？,0.782665336,1,0,0,0,0,0,0,1
138,奥迪曾经差点被奔驰收购，宝马要不是二战的发生就破产了，哪个国际大品牌不是一路风雨过来的，国产品牌的崛起之路必将坎坷,0.999997441,1,1,0,0,0,0,0,1
139,奥迪和丰田都认可的东西，在喷子们口里就一文不值,0.608974359,1,0,0,0,0,0,1,0
140,把第一句去掉，不要造流量支持国产,0.909620529,1,1,0,0,0,0,0,1
141,把你的观点可以直接代入苹果手机带节奏你是真的坏,0.608974359,1,0,0,0,0,0,1,0
142,把人性这个东西体现的淋漓尽致 ，这个社会 不管你在什么地位你背后总是有很多人对你指指点点 很多人就是没有一点主见和自我认知观 任何事别人说啥就是啥 一天闲着没事干到处人云亦云 啥都是听别人说的,0.799996576,1,0,1,0,0,0,0,0
143,把手真够脑残，急刹车时候可能产生危险，比亚迪有的时候会在一些不该创新设计的地方瞎设计。,0.556291293,1,0,0,0,0,0,1,0
144,把政策去掉试试,0.890899361,1,0,1,0,0,0,0,0
145,白色是国内出租车标配,0.937966143,1,1,0,0,0,1,0,0
146,白洋淀的审美有一股殡仪馆风格…,0.449177231,0,0,1,0,0,0,0,0
147,百公里1.6和百公里3.8这个问题，你好好看看什么叫亏电油耗！,0.682090809,1,0,0,1,0,0,0,0
148,百花齐放！,0.5,1,0,1,0,0,0,0,0
149,百花齐放，各领风骚。都挺好，都没错，正常！,0.575327645,1,0,1,0,0,0,0,0
150,百花齐放，这一总结实在是太对了,0.016556181,0,1,1,0,0,0,0,0
151,百花齐放百家争鸣，不存在的。头狼没了，狼群就散了。领头雁没了，雁阵也没了。华为倒了，本以为高端机百花齐放，结果国产高端手机掉没了,0.697756717,1,0,0,0,0,0,0,1
152,百花齐放百家争鸣，这样挺好，给不同消费者不同的选择，不然买什么车都有人只给你推荐领克09,0.957130876,1,1,0,0,0,0,0,1
153,百花齐放才是春,0.593988928,1,0,1,0,0,0,0,0
154,百花齐放才是王道,0.882414707,1,0,1,0,0,0,0,0
155,百花齐放对了，拿钱愿意买的人也没必要理会键盘买的人。,0.336458914,0,0,1,0,0,0,0,0
156,百花齐放说的好,0.449177231,0,0,1,0,0,0,0,0
157,百花齐放有竞争消费者才能受益,0.427424421,0,0,0,0,1,0,0,0
158,百姓者之车，能做出租车说明质量可靠。,0.68636173,1,0,0,1,0,0,0,0
159,拜拜,0.899624037,1,0,1,0,0,0,0,0
160,拜拜,0.899624037,1,0,1,0,0,0,0,0
161,拜托老洋勤更新点，每次都能学到不少东西，,0.449177231,0,0,1,0,0,0,0,0
162,拜托了老司机 和 理想,0.339146522,0,0,1,0,0,0,0,0
163,棒棒哒,0.797617425,1,0,1,0,0,0,0,0
164,包分配？比亚迪妥妥的民营新企业，你乱说什么,0.168030499,0,0,0,0,0,0,1,0
165,包分配的不是长子红旗吗？,0.024202427,0,1,1,0,0,0,0,0
166,保值的不一定车好，不保值的不一定不好。,0.684686115,1,0,1,0,0,0,0,0
167,报名说蔡眼睛,0.684686115,1,0,1,0,0,0,0,0
168,北汽呢？感觉你变了,0.645529461,1,0,1,0,0,0,0,0
169,背背佳 脑白金 小罐茶 当年消费者也很爱买,0.994202822,1,1,0,0,0,0,0,1
170,背后那个尾翼能换一下我就买了,0.021483086,0,1,1,0,0,0,0,0
171,被里面的海螺开门把手劝退,0.005388814,0,1,1,0,0,0,0,0
172,被人吊永远系被人吊,0.019936832,0,1,1,0,0,0,0,0
173,奔驰宝马都不喜欢，我就喜欢这款车，但是我买不起,0.899624037,1,0,1,0,0,0,0,0
174,奔驰宝马福特丰田造十二缸比亚垃圾还认不得什么是车,0.023689801,0,1,0,0,1,0,0,0
175,奔驰也是出租车你们会买嘛,0.909697163,1,1,0,0,0,1,0,0
176,奔驰在德国也是出租，丰田在香港也是出租。同样是出租，民族品牌就low，国外品牌就是质量可靠,0.990816035,1,1,0,0,0,0,0,1
177,奔腾、红旗呢,0.899624037,1,0,1,0,0,0,0,0
178,本就土到骨子里,0.162156131,0,0,1,0,0,0,0,0
179,本来就垃圾,0.078727802,0,1,0,0,1,0,0,0
180,本来就是，自燃太多,0.339146522,0,0,1,0,0,0,0,0
181,本来就是垃圾,0.078727802,0,1,0,0,1,0,0,0
182,本来就是垃圾,0.078727802,0,1,0,0,1,0,0,0
183,本来就是垃圾…看到很多自燃的哟,0.133352126,0,0,0,0,1,0,0,0
184,本来就是垃圾呀，我买的17款糖毛病都成锤子了,0.026401061,0,1,0,0,1,0,0,0
185,本来就土到骨头里,0.449177231,0,0,1,0,0,0,0,0
186,本来绝对是垃圾,0.078727802,0,1,0,0,1,0,0,0
187,本来考虑比亚迪汉和新款蒙迪欧，结果囊中羞涩买不起比亚迪，只能提蒙迪欧,0.647887924,1,0,1,0,0,0,0,0
188,本来去年买理想one的 结果五月份改款没了7座 瞬间不香了 提了唐EV,0.777949077,1,0,1,0,0,0,0,0
189,本来想买比亚迪汉的，同事提醒看一下免责条款，看完我放弃了,0.899624037,1,0,1,0,0,0,0,0
190,本来想买红旗H5的。决定了我要买汉,0.336458914,0,0,1,0,0,0,0,0
191,本人提了比亚迪元plus。买车不是买品牌。我买的是车。我也没有想到自己会买一台比亚迪。 有一说一。比亚迪油车是不怎么好。但是电车确实不错。,0.978224126,1,1,0,0,0,1,0,0
192,本人做其他行业品牌十年！大白话，萝卜青菜，各有所爱！成年以后，就试着在支持各行各业的华系龙头品牌，格力，华为，李宁，等等，现在更是华系的支持者，已订宋dmi 110顶配，我中国人，用华系，我骄傲！,0.999586604,1,1,0,0,0,0,0,1
193,本身锂电池汽车就是新能源伪命题,0.457865887,0,0,0,0,1,0,0,0
194,本身质量就差,0.156540101,0,0,0,1,0,0,0,0
195,本是同根生，相煎何太急，喷喷鲶鱼吧！,0.556081221,1,0,1,0,0,0,0,0
196,本田，再贵都是焊接,0.882414707,1,0,1,0,0,0,0,0
197,比比亚迪老牌的国产车少吗？活的好的几个？,0.892491186,1,0,0,0,0,0,0,1
198,比比亚迪早的车厂多了，为啥他们干不过比亚迪,0.015119046,0,1,1,0,0,0,0,0
199,比次那些没用 买的人已经闭嘴 没买的人只会瞎比比,0.122130192,0,0,1,0,0,0,0,0
200,比较认可你说的，真的，外观真的可以，但是内饰真的爱不起来，真的没有用户思维，内饰真的该好好设计一下，会有更多人喜欢的，其他新势力也确实有很不错的产品，所有东西都不能一家独大，最后吃亏的就是消费者,0.799996576,1,0,1,0,0,0,0,0
201,比亚迪 的质量 有德系车血统,0.40697903,0,0,0,1,0,0,0,0
202,比亚迪 华为 小米 遭受的非议少吗 如果说新势力被喷子喷变了色 那这仨基本都黑了 关键还是产品力 看看特斯拉 你真以为是喷子喷的销量下滑？ 是几年来没有重大的技术进步导致的产品力下降,0.000533581,0,1,0,0,0,1,0,0
203,比亚迪 技术 不知道怎么样 没开过 反正外貌 内饰 都不喜欢 个人感觉吧,0.18953783,0,0,1,0,0,0,0,0
204,比亚迪 任重而道远,0.503272058,1,0,1,0,0,0,0,0
205,比亚迪 一堆毛病,0.425624146,0,0,0,0,0,0,1,0
206,比亚迪，国产车的骄傲,0.970315793,1,1,0,0,0,0,0,1
207,比亚迪，国人的骄傲，,0.985947259,1,1,0,0,0,1,0,0
208,比亚迪，好是好，但是不好也是不好。不矛盾，是真话,0.021483086,0,1,1,0,0,0,0,0
209,比亚迪，华为……,0.503272058,1,0,1,0,0,0,0,0
210,比亚迪，吉利，长城，奇瑞，长安，广汽，这几个传统厂的挺不错。,0.999325435,1,1,0,1,0,0,0,0
211,比亚迪，技术领先，畅销全球,0.997876895,1,1,0,0,0,1,0,0
212,比亚迪，垃圾,0.128442196,0,0,0,0,1,0,0,0
213,比亚迪，良心企业良心车,0.313385808,0,0,0,0,0,0,1,0
214,比亚迪，坡都上不去,0.18953783,0,0,1,0,0,0,0,0
215,比亚迪，奇瑞，吉利，都是靠自己实力摸爬滚打过来的自主品牌。,0.991101412,1,1,0,0,0,0,0,1
216,比亚迪，我初中时候拼车接送放学的就是这个车，没有造车的底蕴。另一台接送的是一台脱离合资的海马的一代福美来，据说车价价格差的不大，但是完全是不同的两台车，比亚迪就是工业垃圾,0.947167614,1,1,0,0,1,0,0,0
217,比亚迪，现在最便宜的也十万起！唐，汉30万了！谁还看不起,0.797617425,1,0,1,0,0,0,0,0
218,比亚迪，应该叫筑梦，不应该叫比亚迪，,0.667519673,1,0,1,0,0,0,0,0
219,比亚迪，越来越高端，牛,0.80755662,1,0,0,0,0,0,0,1
220,比亚迪，质量投诉榜冠军，自燃之王，质量烂,0.108054705,0,0,0,1,0,0,0,0
221,比亚迪：高端大气，智能化程度高，绿色出行的最佳伴侣！,0.99783099,1,1,0,0,0,0,0,1
222,比亚迪？？？垃圾车,0.110239349,0,0,1,0,0,0,0,0
223,比亚迪17年了 都不知道换个名字 我感觉早换换名字 可能更牛逼,0.27724653,0,0,0,0,1,0,0,0
224,比亚迪DMI技术已经清华列为课题,0.676742873,1,0,0,0,0,1,0,0
225,比亚迪dmi系统被收录在清华教材里面，还有各种故做聪明的天天质疑。,0.899624037,1,0,1,0,0,0,0,0
226,比亚迪DMI也可以不充电，用油开的，这种情况油耗3.8升,0.246722144,0,0,0,1,0,0,0,0
227,比亚迪F3便宜啊,0.84356617,1,0,1,0,0,0,0,0
228,比亚迪f3不牛逼吗,0.519856185,1,0,1,0,0,0,0,0
229,比亚迪F3是仿的花冠 裙子两年就烂。,0.890899361,1,0,1,0,0,0,0,0
230,比亚迪F3这车小问题很多，但是修起来便宜，简单,0.974970116,1,1,0,0,0,1,0,0
231,比亚迪yyds,0.503272058,1,0,1,0,0,0,0,0
232,比亚迪yyds,0.503272058,1,0,1,0,0,0,0,0
233,比亚迪安全性杠杠滴,0.024202427,0,1,1,0,0,0,0,0
234,比亚迪按键全是中文 请问那个车企能做到？总比开了几年的车好多按键是啥意思都不知道的好,0.009428581,0,1,1,0,0,0,0,0
235,比亚迪被黑的还不多吗？,0.566558872,1,0,1,0,0,0,0,0
236,比亚迪被黑还少吗,0.503891724,1,0,1,0,0,0,0,0
237,比亚迪被黑你怎么不说,0.629577218,1,0,1,0,0,0,0,0
238,比亚迪本来就是垃圾,0.079682351,0,1,0,0,1,0,0,0
239,比亚迪本来就是垃圾啊,0.079682351,0,1,0,0,1,0,0,0
240,比亚迪本身就是垃圾,0.157508249,0,0,0,0,1,0,0,0
241,比亚迪本身优秀，但它的水军很讨厌，动不动就是老子比亚迪天下无敌，完全拉低对比亚迪的好感值,0.999534894,1,1,0,1,0,0,0,0
242,比亚迪变速箱是什么变速箱,0.221690427,0,0,0,0,0,0,1,0
243,比亚迪不错，支持国货,0.934465662,1,1,0,1,0,0,0,0
244,比亚迪不但没有打压其他国产车企，反而帮助。免费把魏这个商标送给长城，,0.800119923,1,0,0,0,0,0,0,1
245,比亚迪不好的时候，你拥护日资，比亚迪好起来了，你说要拥护造车新势力，你说比亚迪难不难？,0.034367285,0,1,0,0,0,1,0,0
246,比亚迪不好听 改改名卖的能更好 叫个 比加迪 比奥迪 比…,0.107107882,0,0,0,0,0,0,0,1
247,比亚迪不怕雪地里，不怕冰路上，不怕水里，不怕撞击，不怕高坡，全世界都在高价抢比亚迪为国争光王传福有爱心企业家都是家有好女人比如曹德旺也是有爱心企业家也是家里有个好女人,0.799996576,1,0,1,0,0,0,0,0
248,比亚迪不配叫“国货之光”么？？人家当年饱经非议挺住了，厚积薄发坚持住了，现在人家已经把中国车卖向全世界了，还想人家怎样？别说欧洲，非洲。比亚迪敢往日本卖，并且一次就建了一百多家门店，就问你服不服这魄力，东京，大阪车展，唯一一家中国车企，哪个点不值得国人骄傲？宋给你降到十万以内了，降价增配回馈国人。就这点比不比任何一家车企有良心？,0.941148013,1,1,0,0,0,1,0,0
249,比亚迪不是0充值么？,0.503272058,1,0,0,1,0,0,0,0
250,比亚迪不是被喷得最惨的么？印象中被喷了十来年了吧,0.162156131,0,0,1,0,0,0,0,0
251,比亚迪不是奔驰，也不是宝马，是货真个实的地地道道的中国龙！,0.890899361,1,0,1,0,0,0,0,0
252,比亚迪不是吹上去的，确实产品和服务都很好，老百姓真的需要一台销量好有品质保证的一款车,0.863761326,1,0,0,0,1,0,0,0
253,比亚迪不是靠抄袭起家的吗...一个F3把人家花冠抄停产,0.449177231,0,0,1,0,0,0,0,0
254,比亚迪不是美帝国品牌吗？？build yOur d啥的，比 亚 迪，横看竖看都不像中国的,0.974416979,1,1,0,0,0,0,0,1
255,比亚迪不是去年才刚开始火，怎么就变成所谓的那些长子待遇了,0.016556181,0,1,1,0,0,0,0,0
256,比亚迪不是这么过来的？新势力就说不得了？这点委屈都扛不住了？它卖被，一直出好产品，该买的都会买，别扯别的有的没的蛋，把产品做好，对得起相信他们的人，少出这些乱七八糟的文案，理性感性都想吃，贪了点吧,0.267467237,0,0,0,0,1,0,0,0
257,比亚迪不行，还没掌握新能源汽车的三大核心技术：冰箱、彩电、大沙发！不行……不行……,0.016222393,0,1,0,0,0,1,0,0
258,比亚迪才是用心造车的企业，刀片电池永远不会自燃，安全结实，开起来有安全感，有自豪感，感谢比亚迪,0.974966412,1,1,0,0,1,0,0,0
259,比亚迪材料设备几乎都是日本进口的，有问题只能说代工厂的问题，就跟加盟的一样,0.974970116,1,1,0,0,0,1,0,0
260,比亚迪产品定位是大众产品，其余新势力是高端，没有可比性,0.89518123,1,0,0,0,0,0,0,1
261,比亚迪产品能打不能打就完了，你看看汉啥都明白了，看完以后同等价位一下就不香了。,0.968144748,1,1,0,0,1,0,0,0
262,比亚迪超级混动和电车还好 油车那就车就算了,0.958346061,1,1,0,0,0,1,0,0
263,比亚迪车，国货之光。高端大气，配置优越，内饰舒适，动力强劲。大品牌，值得信赖！[ok][ok][ok],0.999999519,1,1,0,0,0,0,0,1
264,比亚迪车不错，但是比亚迪的车吹太可恨，所以远离byd。,0.535244231,1,0,1,0,0,0,0,0
265,比亚迪车不知道好不，不过比亚迪厂太黑了,0.339146522,0,0,1,0,0,0,0,0
266,比亚迪车厂说谁了？躺枪？,0.339146522,0,0,1,0,0,0,0,0
267,比亚迪车还是可以的，就是他们的水军太讨厌了，只能说优点，不能说缺点，不然会被喷死,0.602162174,1,0,0,0,0,0,0,1
268,比亚迪车机？内饰？,0.449177231,0,0,1,0,0,0,0,0
269,比亚迪车机糸统比日系车强多了 开着平顺性也好价格也不高,0.924601914,1,1,1,0,0,0,0,0
